run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
129,mlp_only,2,64,2,0.3132914663982391,0.36729194963455203,0.07951349852085114,7,39086
85,linear_then_conv,4,128,2,0.31427818609237673,0.3459979292297363,0.06760155088663101,6,83149
93,linear_then_conv,4,512,2,0.3246605170154572,0.3557066476345062,0.02301280927360058,5,848677
133,mlp_only,2,128,2,0.3322718502807617,0.3880567917346954,0.11449649556875229,4,77870
105,linear_then_conv,6,256,2,0.3408230525112152,0.3543625413322449,0.021373802903294565,14,253335
57,conv_then_linear,8,256,2,0.35078949458122255,0.36099075099945066,0.01782338394343853,10,346201
1,conv_then_linear,2,64,2,0.35601453672409056,0.4699115954685211,0.08313015357017517,5,45099
77,linear_then_conv,2,512,2,0.35659547627449034,0.4262527795791626,0.049039148318767545,5,846627
141,mlp_only,2,512,2,0.36007516959190367,0.43400630975723264,0.06821934045314788,4,310574
5,conv_then_linear,2,128,2,0.36158450283050536,0.4269366966342926,0.07964134970188141,6,86443
13,conv_then_linear,2,512,2,0.38284248588562014,0.4518964933681488,0.06039866675257683,4,1367203
81,linear_then_conv,4,64,2,0.39374895536422727,0.4249457462024689,0.06487080410957337,10,42829
